iter	Passed	Remaining
0	47	3743
1	47	1857
2	47	1225
3	47	909
4	47	719
5	48	593
6	48	503
7	48	435
8	48	382
9	48	339
10	48	305
11	48	276
12	48	251
13	48	230
14	49	212
15	49	196
16	49	182
17	49	170
18	49	158
19	49	148
20	49	139
21	49	131
22	49	123
23	50	116
24	50	110
25	50	104
26	50	98
27	50	93
28	50	89
29	50	84
30	50	80
31	50	76
32	51	72
33	51	69
34	51	65
35	51	62
36	51	59
37	51	57
38	51	54
39	51	51
40	51	49
41	52	47
42	52	44
43	52	42
44	52	40
45	52	38
46	52	36
47	52	35
48	52	33
49	53	31
50	53	30
51	53	28
52	53	27
53	53	25
54	53	24
55	53	23
56	53	21
57	53	20
58	54	19
59	54	18
60	54	16
61	54	15
62	54	14
63	54	13
64	54	12
65	54	11
66	54	10
67	54	9
68	55	8
69	55	7
70	55	7
71	55	6
72	55	5
73	55	4
74	55	3
75	55	2
76	55	2
77	56	1
78	56	0
79	56	0
